,HCHO Value,Date
2019-01-02 00:00:00,1.919914652467399e-05,2019-01-02
2019-01-03 00:00:00,2.811447935930284e-05,2019-01-03
2019-01-04 00:00:00,3.747998184385943e-05,2019-01-04
2019-01-05 00:00:00,-1.7982608793453114e-05,2019-01-05
2019-01-06 00:00:00,0.0001457836896179,2019-01-06
2019-01-07 00:00:00,2.8285908025465342e-05,2019-01-07
2019-01-08 00:00:00,8.518546236523268e-05,2019-01-08
2019-01-09 00:00:00,0.000142085016705,2019-01-09
2019-01-10 00:00:00,8.111544808786291e-05,2019-01-10
2019-01-11 00:00:00,2.014587947072581e-05,2019-01-11
2019-01-12 00:00:00,0.000158278766321,2019-01-12
2019-01-13 00:00:00,0.0001386952570461,2019-01-13
2019-01-14 00:00:00,0.0001191117477712,2019-01-14
2019-01-15 00:00:00,9.952823849642218e-05,2019-01-15
2019-01-16 00:00:00,7.484570960514249e-05,2019-01-16
2019-01-17 00:00:00,7.736112226328797e-05,2019-01-17
2019-01-18 00:00:00,5.862126618368232e-05,2019-01-18
2019-01-19 00:00:00,3.9881410104076654e-05,2019-01-19
2019-01-20 00:00:00,0.0001891620203853,2019-01-20
2019-01-21 00:00:00,0.0001159969926423,2019-01-21
2019-01-22 00:00:00,0.0001413523623709,2019-01-22
2019-01-23 00:00:00,7.165379525100222e-05,2019-01-23
2019-01-24 00:00:00,2.1549948286071076e-05,2019-01-24
2019-01-25 00:00:00,-2.8553898678860067e-05,2019-01-25
2019-01-26 00:00:00,7.600673515856997e-05,2019-01-26
2019-01-27 00:00:00,0.000180567368996,2019-01-27
2019-01-28 00:00:00,9.113160086427456e-05,2019-01-28
2019-01-29 00:00:00,7.241739856355372e-05,2019-01-29
2019-01-30 00:00:00,5.669942299414417e-05,2019-01-30
2019-01-31 00:00:00,4.098144742473462e-05,2019-01-31
2019-02-01 00:00:00,5.186428352058307e-05,2019-02-01
2019-02-02 00:00:00,4.359413357770583e-05,2019-02-02
2019-02-03 00:00:00,3.532398363482859e-05,2019-02-03
2019-02-04 00:00:00,2.7053833691951344e-05,2019-02-04
2019-02-05 00:00:00,1.8783683749074103e-05,2019-02-05
2019-02-06 00:00:00,1.051353380619686e-05,2019-02-06
2019-02-07 00:00:00,4.076109671524861e-05,2019-02-07
2019-02-08 00:00:00,7.59353421234044e-05,2019-02-08
2019-02-09 00:00:00,7.47105844841701e-05,2019-02-09
2019-02-10 00:00:00,7.34858268449358e-05,2019-02-10
2019-02-11 00:00:00,1.0584419214865193e-05,2019-02-11
2019-02-12 00:00:00,6.919795120446755e-05,2019-02-12
2019-02-13 00:00:00,0.0001002479887681,2019-02-13
2019-02-14 00:00:00,0.0001312980263317,2019-02-14
2019-02-15 00:00:00,0.0001623480638954,2019-02-15
2019-02-16 00:00:00,2.6644206895973665e-05,2019-02-16
2019-02-17 00:00:00,0.0001362413198283,2019-02-17
2019-02-18 00:00:00,5.895095797941796e-05,2019-02-18
2019-02-19 00:00:00,7.990708924877695e-05,2019-02-19
2019-02-20 00:00:00,8.647263683420719e-05,2019-02-20
2019-02-21 00:00:00,6.580490440211678e-05,2019-02-21
2019-02-22 00:00:00,0.0001173317679715,2019-02-22
2019-02-23 00:00:00,0.0001372664223727,2019-02-23
2019-02-24 00:00:00,0.0001183587731956,2019-02-24
2019-02-25 00:00:00,3.582334073956398e-05,2019-02-25
2019-02-26 00:00:00,-4.671209171647206e-05,2019-02-26
2019-02-27 00:00:00,1.5346476198920965e-05,2019-02-27
2019-02-28 00:00:00,7.740504411431399e-05,2019-02-28
2019-03-01 00:00:00,0.0001394636120297,2019-03-01
2019-03-02 00:00:00,0.0002015221799451,2019-03-02
2019-03-03 00:00:00,0.0002333378601804,2019-03-03
2019-03-04 00:00:00,0.0001130560234093,2019-03-04
2019-03-05 00:00:00,8.923271256196186e-05,2019-03-05
2019-03-06 00:00:00,4.2696494065404425e-05,2019-03-06
2019-03-07 00:00:00,0.0001021544478428,2019-03-07
2019-03-08 00:00:00,0.000104415711202,2019-03-08
2019-03-09 00:00:00,0.0001050893106155,2019-03-09
2019-03-10 00:00:00,0.0001057629100291,2019-03-10
2019-03-11 00:00:00,0.0001954688702953,2019-03-11
2019-03-12 00:00:00,0.0002339561330231,2019-03-12
2019-03-13 00:00:00,0.0001436281760917,2019-03-13
2019-03-14 00:00:00,5.33002191604215e-05,2019-03-14
2019-03-15 00:00:00,0.000123402480465,2019-03-15
2019-03-16 00:00:00,9.934245878113424e-05,2019-03-16
2019-03-17 00:00:00,5.628071383476485e-05,2019-03-17
2019-03-18 00:00:00,1.3218968888395464e-05,2019-03-18
2019-03-19 00:00:00,0.0001449778092531,2019-03-19
2019-03-20 00:00:00,7.633388390013924e-05,2019-03-20
2019-03-21 00:00:00,0.0001480680220993,2019-03-21
2019-03-22 00:00:00,4.698590924918041e-05,2019-03-22
2019-03-23 00:00:00,-1.5467760777977853e-05,2019-03-23
2019-03-24 00:00:00,0.0001512098013132,2019-03-24
2019-03-25 00:00:00,7.338239494073005e-05,2019-03-25
2019-03-26 00:00:00,8.133633841564141e-05,2019-03-26
2019-03-27 00:00:00,9.850572535486576e-05,2019-03-27
2019-03-28 00:00:00,0.0001319502848265,2019-03-28
2019-03-29 00:00:00,0.0002089805635327,2019-03-29
2019-03-30 00:00:00,0.000286010842239,2019-03-30
2019-03-31 00:00:00,0.0001691464753809,2019-03-31
2019-04-01 00:00:00,0.0002311358269746,2019-04-01
2019-04-02 00:00:00,0.0001839505016603,2019-04-02
2019-04-03 00:00:00,0.0002120842642893,2019-04-03
2019-04-04 00:00:00,2.65590091925734e-05,2019-04-04
2019-04-05 00:00:00,8.134434422682388e-05,2019-04-05
2019-04-06 00:00:00,0.0001323410016791,2019-04-06
2019-04-07 00:00:00,0.0001584331711474,2019-04-07
2019-04-08 00:00:00,0.0002055366407123,2019-04-08
2019-04-09 00:00:00,0.0002659180015952,2019-04-09
2019-04-10 00:00:00,0.0001209464124475,2019-04-10
2019-04-11 00:00:00,9.413038103599996e-05,2019-04-11
2019-04-12 00:00:00,6.731434962449994e-05,2019-04-12
2019-04-13 00:00:00,0.000172293422113,2019-04-13
2019-04-14 00:00:00,0.0001343072378248,2019-04-14
2019-04-15 00:00:00,9.63210535366288e-05,2019-04-15
2019-04-16 00:00:00,5.833486924844322e-05,2019-04-16
2019-04-17 00:00:00,2.0348684960257624e-05,2019-04-17
2019-04-18 00:00:00,-1.7637499327927978e-05,2019-04-18
2019-04-19 00:00:00,3.045660605066332e-05,2019-04-19
2019-04-20 00:00:00,3.9441730173904633e-05,2019-04-20
2019-04-21 00:00:00,-2.3242276785227024e-05,2019-04-21
2019-04-22 00:00:00,4.274620365243648e-05,2019-04-22
2019-04-23 00:00:00,0.0001087346840901,2019-04-23
2019-04-24 00:00:00,0.0001426274278835,2019-04-24
2019-04-25 00:00:00,0.0001695954056101,2019-04-25
2019-04-26 00:00:00,0.0001965633833368,2019-04-26
2019-04-27 00:00:00,0.0002235313610634,2019-04-27
2019-04-28 00:00:00,0.0002504993387901,2019-04-28
2019-04-29 00:00:00,0.0002152329945563,2019-04-29
2019-04-30 00:00:00,0.0001799666503226,2019-04-30
2019-05-01 00:00:00,0.0001447003060889,2019-05-01
2019-05-02 00:00:00,0.0001938940387614,2019-05-02
2019-05-03 00:00:00,0.000243087771434,2019-05-03
2019-05-04 00:00:00,0.000166357540416,2019-05-04
2019-05-05 00:00:00,0.0001117983754452,2019-05-05
2019-05-06 00:00:00,0.0002294637627646,2019-05-06
2019-05-07 00:00:00,0.0003124401430261,2019-05-07
2019-05-08 00:00:00,0.0002250056587289,2019-05-08
2019-05-09 00:00:00,0.0002085735307819,2019-05-09
2019-05-10 00:00:00,0.000257059338242,2019-05-10
2019-05-11 00:00:00,0.0002004889109836,2019-05-11
2019-05-12 00:00:00,0.0001098424870683,2019-05-12
2019-05-13 00:00:00,0.0002129034585429,2019-05-13
2019-05-14 00:00:00,0.0001720079728961,2019-05-14
2019-05-15 00:00:00,0.0002664730031546,2019-05-15
2019-05-16 00:00:00,0.000201612771683,2019-05-16
2019-05-17 00:00:00,0.0002884037766731,2019-05-17
2019-05-18 00:00:00,0.0001177087880293,2019-05-18
2019-05-19 00:00:00,0.0001160009060384,2019-05-19
2019-05-20 00:00:00,0.0001336881023634,2019-05-20
2019-05-21 00:00:00,0.0002208001227715,2019-05-21
2019-05-22 00:00:00,-7.228200424818833e-05,2019-05-22
2019-05-23 00:00:00,0.0003105529374545,2019-05-23
2019-05-24 00:00:00,0.0002426740459869,2019-05-24
2019-05-25 00:00:00,0.0001747951545193,2019-05-25
2019-05-26 00:00:00,0.0001548687249192,2019-05-26
2019-05-27 00:00:00,0.0001654224296495,2019-05-27
2019-05-28 00:00:00,0.0001982629083403,2019-05-28
2019-05-29 00:00:00,0.0003091327174433,2019-05-29
2019-05-30 00:00:00,0.0002074993984133,2019-05-30
2019-05-31 00:00:00,0.0002010744889855,2019-05-31
2019-06-01 00:00:00,0.0001620855774003,2019-06-01
2019-06-02 00:00:00,0.0002011201633782,2019-06-02
2019-06-03 00:00:00,0.000251481226227,2019-06-03
2019-06-04 00:00:00,0.0001980974619026,2019-06-04
2019-06-05 00:00:00,0.0002146064898484,2019-06-05
2019-06-06 00:00:00,0.0001936430479641,2019-06-06
2019-06-07 00:00:00,0.0002007570846963,2019-06-07
2019-06-08 00:00:00,0.0002396215399985,2019-06-08
2019-06-09 00:00:00,0.00020626461893,2019-06-09
2019-06-10 00:00:00,0.0002028022764897,2019-06-10
2019-06-11 00:00:00,0.0001993399340494,2019-06-11
2019-06-12 00:00:00,6.053496474230479e-05,2019-06-12
2019-06-13 00:00:00,0.0002245152867965,2019-06-13
2019-06-14 00:00:00,0.0001245266181147,2019-06-14
2019-06-15 00:00:00,0.000196375949274,2019-06-15
2019-06-16 00:00:00,0.0001445406571932,2019-06-16
2019-06-17 00:00:00,9.443249258390602e-05,2019-06-17
2019-06-18 00:00:00,0.0001521346246326,2019-06-18
2019-06-19 00:00:00,0.0001972398441497,2019-06-19
2019-06-20 00:00:00,0.0001846460877422,2019-06-20
2019-06-21 00:00:00,0.0001257577767141,2019-06-21
2019-06-22 00:00:00,-3.001237576428592e-05,2019-06-22
2019-06-23 00:00:00,0.0001914609759805,2019-06-23
2019-06-24 00:00:00,0.0001457232699014,2019-06-24
2019-06-25 00:00:00,7.372090402977676e-05,2019-06-25
2019-06-26 00:00:00,0.0002596372495061,2019-06-26
2019-06-27 00:00:00,0.0001779194617772,2019-06-27
2019-06-28 00:00:00,0.000231226423795,2019-06-28
2019-06-29 00:00:00,0.0001812523492576,2019-06-29
2019-06-30 00:00:00,0.0001883885471587,2019-06-30
2019-07-01 00:00:00,0.0002023344533868,2019-07-01
2019-07-02 00:00:00,9.121370706522813e-05,2019-07-02
2019-07-04 00:00:00,0.0001753343888387,2019-07-04
2019-07-05 00:00:00,0.0001420256129706,2019-07-05
2019-07-06 00:00:00,0.0002116970966375,2019-07-06
2019-07-07 00:00:00,0.0001988289947686,2019-07-07
2019-07-08 00:00:00,0.0001030618713161,2019-07-08
2019-07-09 00:00:00,0.0001457607274989,2019-07-09
2019-07-10 00:00:00,0.0001884595836817,2019-07-10
2019-07-11 00:00:00,0.0001975782280741,2019-07-11
2019-07-12 00:00:00,0.0001594655264437,2019-07-12
2019-07-13 00:00:00,0.0001976478337366,2019-07-13
2019-07-14 00:00:00,0.000336220866302,2019-07-14
2019-07-15 00:00:00,0.0002239410468319,2019-07-15
2019-07-16 00:00:00,0.0001116612273619,2019-07-16
2019-07-17 00:00:00,9.440945635086574e-05,2019-07-17
2019-07-18 00:00:00,5.3007591732085154e-05,2019-07-18
2019-07-19 00:00:00,6.854623574559979e-05,2019-07-19
2019-07-20 00:00:00,0.0001801851011904,2019-07-20
2019-07-21 00:00:00,0.0002918239666354,2019-07-21
2019-07-22 00:00:00,0.0002169911424371,2019-07-22
2019-07-23 00:00:00,0.0001421583182389,2019-07-23
2019-07-24 00:00:00,0.0001371408573407,2019-07-24
2019-07-25 00:00:00,7.947482663439587e-05,2019-07-25
2019-07-26 00:00:00,0.0002606689476769,2019-07-26
2019-07-27 00:00:00,0.0002823855014415,2019-07-27
2019-07-28 00:00:00,0.0002140706098285,2019-07-28
2019-07-29 00:00:00,0.0002902694324825,2019-07-29
2019-07-30 00:00:00,0.0001690657406119,2019-07-30
2019-07-31 00:00:00,0.0001755234582795,2019-07-31
2019-08-01 00:00:00,0.0001334335101567,2019-08-01
2019-08-02 00:00:00,0.0001710392138943,2019-08-02
2019-08-03 00:00:00,0.0002770476275012,2019-08-03
2019-08-04 00:00:00,-5.8506497870336726e-05,2019-08-04
2019-08-05 00:00:00,0.0001543679284341,2019-08-05
2019-08-06 00:00:00,0.0001381167840436,2019-08-06
2019-08-08 00:00:00,0.0003214545216953,2019-08-08
2019-08-09 00:00:00,0.0002323583030374,2019-08-09
2019-08-10 00:00:00,0.000198615195268,2019-08-10
2019-08-11 00:00:00,0.0001648720874987,2019-08-11
2019-08-12 00:00:00,0.0001697566086455,2019-08-12
2019-08-13 00:00:00,0.000165733679407,2019-08-13
2019-08-14 00:00:00,0.0001617107501685,2019-08-14
2019-08-15 00:00:00,8.127829567496318e-05,2019-08-15
2019-08-16 00:00:00,8.65017980523612e-05,2019-08-16
2019-08-17 00:00:00,9.172530042975922e-05,2019-08-17
2019-08-18 00:00:00,9.694880280715724e-05,2019-08-18
2019-08-19 00:00:00,0.0001231442282225,2019-08-19
2019-08-20 00:00:00,0.0001072038762765,2019-08-20
2019-08-21 00:00:00,0.000223914074013,2019-08-21
2019-08-22 00:00:00,0.0002280724197122,2019-08-22
2019-08-23 00:00:00,0.0002322307654114,2019-08-23
2019-08-24 00:00:00,0.0002363891111106,2019-08-24
2019-08-25 00:00:00,0.0002405474568099,2019-08-25
2019-08-26 00:00:00,0.0001396728141871,2019-08-26
2019-08-27 00:00:00,3.879817156439453e-05,2019-08-27
2019-08-28 00:00:00,4.685654324449213e-05,2019-08-28
2019-08-30 00:00:00,0.0001017635807711,2019-08-30
2019-08-31 00:00:00,0.0001199569514245,2019-08-31
2019-09-01 00:00:00,0.0001530958652951,2019-09-01
2019-09-02 00:00:00,0.0001862347791657,2019-09-02
2019-09-03 00:00:00,0.0002193736930364,2019-09-03
2019-09-04 00:00:00,0.0001449926375105,2019-09-04
2019-09-05 00:00:00,7.061158198466546e-05,2019-09-05
2019-09-06 00:00:00,0.0002029469269085,2019-09-06
2019-09-07 00:00:00,0.000227267915019,2019-09-07
2019-09-08 00:00:00,0.0001980222193968,2019-09-08
2019-09-09 00:00:00,0.0002873941513638,2019-09-09
2019-09-10 00:00:00,0.0002143623039833,2019-09-10
2019-09-11 00:00:00,0.0002021484148172,2019-09-11
2019-09-12 00:00:00,0.0001899345256512,2019-09-12
2019-09-13 00:00:00,0.0001777206364852,2019-09-13
2019-09-14 00:00:00,0.0001758298338639,2019-09-14
2019-09-15 00:00:00,0.0001063147208697,2019-09-15
2019-09-16 00:00:00,3.679960787562356e-05,2019-09-16
2019-09-17 00:00:00,6.794723518060958e-05,2019-09-17
2019-09-18 00:00:00,7.855116824171623e-05,2019-09-18
2019-09-19 00:00:00,6.91086212510579e-05,2019-09-19
2019-09-20 00:00:00,5.966607426039956e-05,2019-09-20
2019-09-21 00:00:00,6.035665491112147e-05,2019-09-21
2019-09-22 00:00:00,7.127377266595629e-05,2019-09-22
2019-09-23 00:00:00,8.21908904207911e-05,2019-09-23
2019-09-24 00:00:00,9.310800817562592e-05,2019-09-24
2019-09-25 00:00:00,0.0001040251259304,2019-09-25
2019-09-26 00:00:00,0.0001149422436852,2019-09-26
2019-09-27 00:00:00,0.0001258593614401,2019-09-27
2019-09-28 00:00:00,0.0001367764791949,2019-09-28
2019-09-29 00:00:00,0.0001476935969498,2019-09-29
2019-09-30 00:00:00,0.0001354187261313,2019-09-30
2019-10-01 00:00:00,0.0001013253568089,2019-10-01
2019-10-02 00:00:00,3.625866611442237e-05,2019-10-02
2019-10-03 00:00:00,4.086449786201247e-05,2019-10-03
2019-10-04 00:00:00,4.547032960960256e-05,2019-10-04
2019-10-05 00:00:00,0.0001850499321187,2019-10-05
2019-10-06 00:00:00,8.042740955715999e-05,2019-10-06
2019-10-07 00:00:00,1.9520575982472e-05,2019-10-07
2019-10-08 00:00:00,9.107848870812606e-05,2019-10-08
2019-10-09 00:00:00,4.460671594527965e-05,2019-10-09
2019-10-10 00:00:00,0.0001980625810632,2019-10-10
2019-10-11 00:00:00,0.0001324947138043,2019-10-11
2019-10-12 00:00:00,6.69268465455332e-05,2019-10-12
2019-10-13 00:00:00,8.33783504916071e-05,2019-10-13
2019-10-14 00:00:00,-0.0001028267070068,2019-10-14
2019-10-15 00:00:00,-4.386704657785577e-05,2019-10-15
2019-10-16 00:00:00,1.509261385108846e-05,2019-10-16
2019-10-17 00:00:00,7.405227428003269e-05,2019-10-17
2019-10-18 00:00:00,6.764801035233342e-05,2019-10-18
2019-10-19 00:00:00,6.124374642463416e-05,2019-10-19
2019-10-20 00:00:00,5.483948249693489e-05,2019-10-20
2019-10-21 00:00:00,4.843521856923563e-05,2019-10-21
2019-10-22 00:00:00,4.203095464153636e-05,2019-10-22
2019-10-23 00:00:00,3.683130442562176e-05,2019-10-23
2019-10-24 00:00:00,3.1631654209707155e-05,2019-10-24
2019-10-25 00:00:00,2.643200399379255e-05,2019-10-25
2019-10-26 00:00:00,2.1232353777877947e-05,2019-10-26
2019-10-27 00:00:00,1.6032703561963343e-05,2019-10-27
2019-10-28 00:00:00,1.083305334604874e-05,2019-10-28
2019-10-29 00:00:00,5.633403130134131e-06,2019-10-29
2019-10-30 00:00:00,4.337529142195307e-07,2019-10-30
2019-10-31 00:00:00,-4.765897301695077e-06,2019-10-31
2019-11-01 00:00:00,7.961665078926478e-05,2019-11-01
2019-11-02 00:00:00,7.301303441877131e-05,2019-11-02
2019-11-03 00:00:00,8.779490013168567e-05,2019-11-03
2019-11-04 00:00:00,0.0001025767658446,2019-11-04
2019-11-05 00:00:00,5.952412593517619e-05,2019-11-05
2019-11-06 00:00:00,0.0001244564848621,2019-11-06
2019-11-07 00:00:00,0.0001137354925625,2019-11-07
2019-11-08 00:00:00,0.0001049525241123,2019-11-08
2019-11-09 00:00:00,9.6169555662127e-05,2019-11-09
2019-11-10 00:00:00,8.73865872119405e-05,2019-11-10
2019-11-11 00:00:00,7.8603618761754e-05,2019-11-11
2019-11-12 00:00:00,1.1670059962981136e-05,2019-11-12
2019-11-13 00:00:00,9.017052121765264e-05,2019-11-13
2019-11-14 00:00:00,4.494364215642581e-05,2019-11-14
2019-11-15 00:00:00,-3.101655966020189e-05,2019-11-15
2019-11-16 00:00:00,7.223729487439374e-05,2019-11-16
2019-11-17 00:00:00,3.7091107515152544e-05,2019-11-17
2019-11-18 00:00:00,0.0001103087745437,2019-11-18
2019-11-19 00:00:00,8.99974333677621e-06,2019-11-19
2019-11-20 00:00:00,9.403313306139046e-06,2019-11-20
2019-11-21 00:00:00,9.806883275501884e-06,2019-11-21
2019-11-22 00:00:00,2.5208745073291692e-05,2019-11-22
2019-11-23 00:00:00,4.061060687108151e-05,2019-11-23
2019-11-24 00:00:00,5.601246866887132e-05,2019-11-24
2019-11-25 00:00:00,7.141433046666113e-05,2019-11-25
2019-11-26 00:00:00,8.681619226445095e-05,2019-11-26
2019-11-27 00:00:00,0.0001022180540622,2019-11-27
2019-11-28 00:00:00,0.00011761991586,2019-11-28
2019-11-29 00:00:00,0.0001330217776578,2019-11-29
2019-11-30 00:00:00,0.0001484236394556,2019-11-30
2019-12-01 00:00:00,0.0001638255012534,2019-12-01
2019-12-02 00:00:00,0.0001401162064566,2019-12-02
2019-12-03 00:00:00,0.0001164069116598,2019-12-03
2019-12-04 00:00:00,9.2697616863013e-05,2019-12-04
2019-12-05 00:00:00,6.898832206621732e-05,2019-12-05
2019-12-06 00:00:00,4.527902726942165e-05,2019-12-06
2019-12-07 00:00:00,4.077326007100831e-05,2019-12-07
2019-12-08 00:00:00,3.626749287259496e-05,2019-12-08
2019-12-09 00:00:00,3.176172567418162e-05,2019-12-09
2019-12-10 00:00:00,2.725595847576827e-05,2019-12-10
2019-12-11 00:00:00,2.2750191277354924e-05,2019-12-11
2019-12-12 00:00:00,1.824442407894158e-05,2019-12-12
2019-12-13 00:00:00,0.0001733404594727,2019-12-13
2019-12-14 00:00:00,0.0001214041228488,2019-12-14
2019-12-15 00:00:00,0.0001225482874445,2019-12-15
2019-12-16 00:00:00,0.0001236924520403,2019-12-16
2019-12-17 00:00:00,0.0001091927099828,2019-12-17
2019-12-18 00:00:00,9.469296792542924e-05,2019-12-18
2019-12-19 00:00:00,8.019322586799385e-05,2019-12-19
2019-12-20 00:00:00,6.569348381055848e-05,2019-12-20
2019-12-21 00:00:00,5.1193741753123085e-05,2019-12-21
2019-12-22 00:00:00,3.66939996956877e-05,2019-12-22
2019-12-23 00:00:00,2.2194257638252324e-05,2019-12-23
2019-12-24 00:00:00,2.117652741735389e-05,2019-12-24
2019-12-25 00:00:00,0.0001555813232877,2019-12-25
2019-12-26 00:00:00,0.0001110376975934,2019-12-26
2019-12-27 00:00:00,6.64940718992127e-05,2019-12-27
2019-12-28 00:00:00,8.053915245153277e-05,2019-12-28
2019-12-29 00:00:00,-3.706587255570228e-06,2019-12-29
2019-12-30 00:00:00,5.587984313944631e-05,2019-12-30
2019-12-31 00:00:00,-3.16976321224565e-05,2019-12-31
2020-01-01 00:00:00,9.034290529466052e-05,2020-01-01
2020-01-02 00:00:00,9.529433213378026e-05,2020-01-02
2020-01-03 00:00:00,0.0001002457589729,2020-01-03
2020-01-04 00:00:00,3.286016579496975e-05,2020-01-04
2020-01-05 00:00:00,3.071760518502251e-05,2020-01-05
2020-01-06 00:00:00,3.476576938377549e-05,2020-01-06
